task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2f/f3bdce	-	PIPELINE_INITIALISATION:READ_YAML	CACHED	-	2026-02-05 09:54:08.484	46ms	21ms	-	-	-	-	-
2	0a/fff4c7	21074.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurGra_Og.long.31)	CACHED	0	2026-02-05 09:54:08.696	17m 8s	17m	337.5%	26 GB	33.7 GB	114.1 GB	108.4 GB
3	6c/64328e	21078.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurGra_Og.long.31)	CACHED	0	2026-02-05 10:11:18.322	8.5s	28ms	103.4%	3.4 MB	4.6 MB	354.7 KB	9.4 KB
4	d5/b7b9a3	21080.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurGra_Og.long.31)	CACHED	0	2026-02-05 10:11:26.914	14.9s	7.3s	518.6%	194.4 MB	16.3 GB	17.4 MB	911.8 KB
6	08/6c03dd	21081.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurGra_Og)	CACHED	0	2026-02-05 10:11:41.980	1m 30s	1m 27s	100.1%	3.5 MB	15.6 MB	19.3 GB	19.3 GB
5	c2/bed5ae	21083.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurGra_Og)	CACHED	0	2026-02-05 10:11:42.061	8m 40s	8m 36s	248.5%	38.9 GB	43.3 GB	24 GB	17 MB
8	e9/062fd4	21575.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio Gravolens)	FAILED	1	2026-02-10 13:34:38.567	1m 28s	1m 25s	-	-	-	-	-
7	d3/8a4af0	21574.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-10 13:34:38.530	1h 7m 43s	1h 7m 36s	2707.5%	25 GB	26.8 GB	38.6 GB	9.6 GB
9	48/d2d898	21620.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-10 14:42:21.906	5m 35s	5m 31s	418.0%	12.6 GB	14.8 GB	25.2 GB	17 GB
10	ca/f00d7b	21625.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-10 14:47:57.109	19.6s	13s	99.8%	3.5 MB	15.6 MB	2.8 GB	2.8 GB
